Compound name,Class_0,Class_1,Class_2,y_true,idx,type
MgZrMnNiO6_R,0.171392176,0.213335496,0.615272328,2,83,Train
SrCeMnNiO6_R,0.097702813,0.209973416,0.692323772,2,148,Train
SrDyMnNiO6_L,0.104137976,0.557215227,0.338646797,1,150,Train
NaLuCrWO6_R,0.123076923,0.120512821,0.756410256,2,89,Train
BaSmMnNiO6_L,0.271103824,0.531538184,0.197357992,1,8,Train
SrSnMnNiO6_C,0.867301099,0.070953431,0.061745471,0,158,Train
NaYNiOsO6_R,0.107388664,0.074240891,0.818370445,2,113,Train
BiCaMnNiO6_C,0.747399542,0.176788512,0.075811946,0,13,Train
KYMnOsO6_R,0.019477318,0.046761515,0.933761167,2,59,Train
RbYVOsO6_R,0.106323902,0.058687286,0.834988812,2,141,Train
BiSnMnNiO6_L,0.17752862,0.726155345,0.096316035,1,17,Train
LaZrMnNiO6_C,0.916416182,0.07619317,0.007390649,0,72,Train
SmSnMnNiO6_C,0.865903892,0.108125006,0.025971102,0,144,Train
RbYNiOsO6_R,0.07536415,0.028799217,0.895836633,2,137,Train
SrGdMnNiO6_L,0.149997541,0.518110204,0.331892255,1,152,Train
KYVOsO6_R,0.106323902,0.058687286,0.834988812,2,63,Train
KYCrOsO6_R,0.091671888,0.059419886,0.848908226,2,54,Train
NaYFeReO6_R,0.075,0.106089744,0.818910256,2,107,Train
KGdFeWO6_L,0.176323298,0.660542625,0.163134077,1,50,Train
ZnCeMnNiO6_C,0.602086212,0.206527408,0.19138638,0,163,Train
KYFeOsO6_R,0.091671888,0.059419886,0.848908226,2,58,Train
HgTbMnNiO6_L,0.183197805,0.596131987,0.220670208,1,48,Train
NaLuCrWO6_L,0.218933892,0.664513711,0.116552397,1,88,Train
CaHfMnNiO6_C,0.845476011,0.108992315,0.045531674,0,21,Train
KYFeOsO6_C,0.702318293,0.206765418,0.09091629,0,57,Train
SrTbMnNiO6_R,0.105043773,0.201181225,0.693775002,2,160,Train
RbYFeReO6_L,0.240684243,0.591612113,0.167703643,1,129,Train
GdSnMnNiO6_L,0.252000717,0.650206376,0.097792908,1,37,Train
SrHoMnNiO6_C,0.844053838,0.092206866,0.063739296,0,156,Train
BaCeMnNiO6_L,0.150351762,0.608599372,0.241048867,1,1,Train
KYCoOsO6_R,0.074267399,0.045930295,0.879802306,2,52,Train
SrDyMnNiO6_C,0.787656697,0.105847105,0.106496198,0,149,Train
RbYFeWO6_C,0.730153918,0.153771297,0.116074785,0,130,Train
SrGdMnNiO6_C,0.71073362,0.128283002,0.160983378,0,151,Train
NaYFeOsO6_L,0.158286207,0.739584473,0.10212932,1,103,Train
NaYCoWO6_L,0.180722104,0.717148576,0.10212932,1,99,Train
NaYNiReO6_R,0.107388664,0.074240891,0.818370445,2,116,Train
NaLuCrWO6_C,0.798510774,0.147130252,0.054358974,0,87,Train
LuSnMnNiO6_L,0.193774221,0.671282522,0.134943257,1,74,Train
NdSnMnNiO6_L,0.153490159,0.713043457,0.133466384,1,121,Train
ZnSnMnNiO6_C,0.825296414,0.110741598,0.063961988,0,165,Train
CaCeMnNiO6_R,0.100743575,0.206970009,0.692286416,2,20,Train
LaSrMnNiO6_L,0.390117846,0.459837581,0.150044573,1,71,Train
NaYFeReO6_L,0.180722104,0.717148576,0.10212932,1,106,Train
BiCaMnNiO6_L,0.191437417,0.560559709,0.248002875,1,14,Train
NaYCoOsO6_C,0.755012605,0.177807907,0.067179487,0,92,Train
NaYFeOsO6_L,0.285653119,0.648449445,0.065897436,1,102,Train
NaYCrWO6_L,0.218933892,0.664513711,0.116552397,1,100,Test
RbYNiOsO6_C,0.725757573,0.15772126,0.116521167,0,136,Test
MgPbMnNiO6_R,0.174736658,0.202982358,0.622280985,2,78,Test
KYCrWO6_R,0.009861933,0.041953823,0.948184244,2,56,Test
NaYCoReO6_R,0.075,0.106089744,0.818910256,2,97,Test
CdHfMnNiO6_R,0.115836621,0.25820729,0.625956089,2,29,Test
NaYFeOsO6_R,0.075,0.106089744,0.818910256,2,104,Test
MgZrMnNiO6_L,0.175131492,0.46493806,0.359930448,1,82,Test
TmSnMnNiO6_C,0.83848665,0.123381615,0.038131735,0,162,Test
NaYMnReO6_C,0.67434899,0.220637075,0.105013935,0,108,Test
BiZnMnNiO6_L,0.120086364,0.738093854,0.141819782,1,19,Test
HgHfMnNiO6_C,0.849869064,0.08029288,0.069838057,0,42,Test
BiMgMnNiO6_C,0.722333691,0.179698539,0.09796777,0,15,Test
LaGdMnNiO6_C,0.735370742,0.178621432,0.086007826,0,67,Test
CaTbMnNiO6_R,0.102206786,0.207707762,0.690085452,2,24,Test
CdTbMnNiO6_R,0.152318521,0.204134445,0.643547034,2,31,Test
RbYFeWO6_R,0.042975486,0.047375068,0.909649446,2,131,Test
KYCoOsO6_C,0.806422522,0.104721628,0.08885585,0,51,Test
NaYFeOsO6_C,0.671143862,0.23826528,0.090590858,0,101,Test
