Compound name,Class_0,Class_1,Class_2,y_true,idx
KYFeOsO6_C,0.702318293,0.206765418,0.09091629,0,57
SrTbMnNiO6_R,0.105043773,0.201181225,0.693775002,2,160
RbYFeReO6_L,0.240684243,0.591612113,0.167703643,1,129
GdSnMnNiO6_L,0.252000717,0.650206376,0.097792908,1,37
SrHoMnNiO6_C,0.844053838,0.092206866,0.063739296,0,156
BaCeMnNiO6_L,0.150351762,0.608599372,0.241048867,1,1
KYCoOsO6_R,0.074267399,0.045930295,0.879802306,2,52
SrDyMnNiO6_C,0.787656697,0.105847105,0.106496198,0,149
RbYFeWO6_C,0.730153918,0.153771297,0.116074785,0,130
SrGdMnNiO6_C,0.71073362,0.128283002,0.160983378,0,151
NaYFeOsO6_L,0.158286207,0.739584473,0.10212932,1,103
NaYCoWO6_L,0.180722104,0.717148576,0.10212932,1,99
NaYNiReO6_R,0.107388664,0.074240891,0.818370445,2,116
NaLuCrWO6_C,0.798510774,0.147130252,0.054358974,0,87
LuSnMnNiO6_L,0.193774221,0.671282522,0.134943257,1,74
NdSnMnNiO6_L,0.153490159,0.713043457,0.133466384,1,121
ZnSnMnNiO6_C,0.825296414,0.110741598,0.063961988,0,165
CaCeMnNiO6_R,0.100743575,0.206970009,0.692286416,2,20
LaSrMnNiO6_L,0.390117846,0.459837581,0.150044573,1,71
NaYFeReO6_L,0.180722104,0.717148576,0.10212932,1,106
BiCaMnNiO6_L,0.191437417,0.560559709,0.248002875,1,14
NaYCoOsO6_C,0.755012605,0.177807907,0.067179487,0,92
NaYFeOsO6_L,0.285653119,0.648449445,0.065897436,1,102
